"Accession_ID","Season","Block","Rep","DSR","Origin","Species"
"30",2,3,3,3,"Cuba","rapa"
"30",2,1,4,5,"Cuba","rapa"
"30",2,2,4,5,"Cuba","rapa"
"30",2,3,4,5,"Cuba","rapa"
"30",2,1,5,6,"Cuba","rapa"
"30",2,2,5,7,"Cuba","rapa"
"30",2,3,5,7,"Cuba","rapa"
"31",1,1,1,7,"Egypt","rapa"
"31",1,2,1,7,"Egypt","rapa"
"31",1,3,1,8,"Egypt","rapa"
"31",1,1,2,10,"Egypt","rapa"
"31",1,2,2,10,"Egypt","rapa"
"31",1,3,2,10,"Egypt","rapa"
"31",2,1,3,3,"Egypt","rapa"
"31",2,2,3,4,"Egypt","rapa"
"31",2,3,3,3,"Egypt","rapa"
"31",2,1,4,6,"Egypt","rapa"
"31",2,2,4,6,"Egypt","rapa"
"31",2,3,4,5,"Egypt","rapa"
"31",2,1,5,9,"Egypt","rapa"
"31",2,2,5,7,"Egypt","rapa"
"31",2,3,5,8,"Egypt","rapa"
"32",1,1,1,8,"India","rapa"
"32",1,2,1,6,"India","rapa"
"32",1,3,1,6,"India","rapa"
"32",1,1,2,10,"India","rapa"
"32",1,2,2,10,"India","rapa"
"32",1,3,2,10,"India","rapa"
"32",2,1,3,3,"India","rapa"
"32",2,2,3,3,"India","rapa"
"32",2,3,3,3,"India","rapa"
"32",2,1,4,6,"India","rapa"
"32",2,2,4,6,"India","rapa"
"32",2,3,4,6,"India","rapa"
"32",2,1,5,9,"India","rapa"
"32",2,2,5,9,"India","rapa"
"32",2,3,5,9,"India","rapa"
"33",1,1,1,9,"Spain","rapa"
"33",1,2,1,5,"Spain","rapa"
"33",1,3,1,9,"Spain","rapa"
"33",1,1,2,10,"Spain","rapa"
"33",1,2,2,10,"Spain","rapa"
"33",1,3,2,10,"Spain","rapa"
"33",2,1,3,2,"Spain","rapa"
"33",2,2,3,3,"Spain","rapa"
"33",2,3,3,2,"Spain","rapa"
"33",2,1,4,5,"Spain","rapa"
"33",2,2,4,8,"Spain","rapa"
"33",2,3,4,7,"Spain","rapa"
"33",2,1,5,8,"Spain","rapa"
"33",2,2,5,9,"Spain","rapa"
"33",2,3,5,9,"Spain","rapa"
"34",1,1,1,10,"Nepal","rapa"
"34",1,2,1,9,"Nepal","rapa"
"34",1,3,1,9,"Nepal","rapa"
"34",1,1,2,10,"Nepal","rapa"
"34",1,2,2,10,"Nepal","rapa"
"34",1,3,2,10,"Nepal","rapa"
"34",2,1,3,4,"Nepal","rapa"
"34",2,2,3,3,"Nepal","rapa"
"34",2,3,3,3,"Nepal","rapa"
"34",2,1,4,9,"Nepal","rapa"
"34",2,2,4,6,"Nepal","rapa"
"34",2,3,4,6,"Nepal","rapa"
"34",2,1,5,10,"Nepal","rapa"
"34",2,2,5,7,"Nepal","rapa"
"34",2,3,5,9,"Nepal","rapa"
"35",1,1,1,8,"Australia","rapa"
"35",1,2,1,10,"Australia","rapa"
"35",1,3,1,5,"Australia","rapa"
"35",1,1,2,10,"Australia","rapa"
"35",1,2,2,10,"Australia","rapa"
"35",1,3,2,9,"Australia","rapa"
"35",2,1,3,3,"Australia","rapa"
"35",2,2,3,3,"Australia","rapa"
"35",2,3,3,2,"Australia","rapa"
"35",2,1,4,6,"Australia","rapa"
"35",2,2,4,6,"Australia","rapa"
"35",2,3,4,4,"Australia","rapa"
"35",2,1,5,8,"Australia","rapa"
"35",2,2,5,7,"Australia","rapa"
"35",2,3,5,6,"Australia","rapa"
"36",1,1,1,9,"Japan","rapa"
"36",1,2,1,10,"Japan","rapa"
"36",1,3,1,8,"Japan","rapa"
"36",1,1,2,10,"Japan","rapa"
"36",1,2,2,10,"Japan","rapa"
"36",1,3,2,10,"Japan","rapa"
"36",2,1,3,3,"Japan","rapa"
"36",2,2,3,2,"Japan","rapa"
"36",2,3,3,1,"Japan","rapa"
"36",2,1,4,6,"Japan","rapa"
"36",2,2,4,4,"Japan","rapa"
"36",2,3,4,2,"Japan","rapa"
"36",2,1,5,8,"Japan","rapa"
"36",2,2,5,8,"Japan","rapa"
"36",2,3,5,4,"Japan","rapa"
"37",1,1,1,5,"China","rapa"
"37",1,2,1,9,"China","rapa"
"37",1,3,1,5,"China","rapa"
"37",1,1,2,9,"China","rapa"
"37",1,2,2,10,"China","rapa"
"37",1,3,2,8,"China","rapa"
"37",2,1,3,4,"China","rapa"
"37",2,2,3,3,"China","rapa"
"37",2,3,3,3,"China","rapa"
"37",2,1,4,5,"China","rapa"
"37",2,2,4,6,"China","rapa"
"37",2,3,4,6,"China","rapa"
"37",2,1,5,8,"China","rapa"
"37",2,2,5,9,"China","rapa"
"37",2,3,5,9,"China","rapa"
"38",1,1,1,10,"China","rapa"
"38",1,2,1,8,"China","rapa"
"38",1,3,1,7,"China","rapa"
"38",1,1,2,10,"China","rapa"
"38",1,2,2,10,"China","rapa"
"38",1,3,2,10,"China","rapa"
"38",2,1,3,3,"China","rapa"
"38",2,2,3,3,"China","rapa"
"38",2,3,3,2,"China","rapa"
"38",2,1,4,5,"China","rapa"
"38",2,2,4,6,"China","rapa"
"38",2,3,4,5,"China","rapa"
"38",2,1,5,7,"China","rapa"
"38",2,2,5,7,"China","rapa"
"38",2,3,5,6,"China","rapa"
"39",1,1,1,10,"China","rapa"
"39",1,2,1,10,"China","rapa"
"39",1,3,1,8,"China","rapa"
"39",1,1,2,10,"China","rapa"
"39",1,2,2,10,"China","rapa"
"39",1,3,2,10,"China","rapa"
"39",2,1,3,2,"China","rapa"
"39",2,2,3,4,"China","rapa"
"39",2,3,3,3,"China","rapa"
"39",2,1,4,4,"China","rapa"
"39",2,2,4,6,"China","rapa"
"39",2,3,4,6,"China","rapa"
"39",2,1,5,7,"China","rapa"
"39",2,2,5,7,"China","rapa"
"39",2,3,5,10,"China","rapa"
"40",1,1,1,5,"China","rapa"
"40",1,2,1,10,"China","rapa"
"40",1,3,1,5,"China","rapa"
"40",1,1,2,10,"China","rapa"
"40",1,2,2,10,"China","rapa"
"40",1,3,2,10,"China","rapa"
"40",2,1,3,2,"China","rapa"
"40",2,2,3,2,"China","rapa"
"40",2,3,3,4,"China","rapa"
"40",2,1,4,6,"China","rapa"
"40",2,2,4,5,"China","rapa"
"40",2,3,4,4,"China","rapa"
"40",2,1,5,10,"China","rapa"
"40",2,2,5,6,"China","rapa"
"40",2,3,5,8,"China","rapa"
"41",1,1,1,9,"China","rapa"
"41",1,2,1,7,"China","rapa"
"41",1,3,1,10,"China","rapa"
"41",1,1,2,10,"China","rapa"
"41",1,2,2,8,"China","rapa"
"41",1,3,2,10,"China","rapa"
"41",2,1,3,2,"China","rapa"
"41",2,2,3,3,"China","rapa"
"41",2,3,3,4,"China","rapa"
"41",2,1,4,5,"China","rapa"
"41",2,2,4,4,"China","rapa"
"41",2,3,4,5,"China","rapa"
"41",2,1,5,9,"China","rapa"
"41",2,2,5,6,"China","rapa"
"41",2,3,5,6,"China","rapa"
"42",1,1,1,3,"China","rapa"
"42",1,2,1,9,"China","rapa"
"42",1,3,1,7,"China","rapa"
"42",1,1,2,10,"China","rapa"
"42",1,2,2,10,"China","rapa"
"42",1,3,2,10,"China","rapa"
"42",2,1,3,3,"China","rapa"
"42",2,2,3,3,"China","rapa"
"42",2,3,3,2,"China","rapa"
"42",2,1,4,5,"China","rapa"
"42",2,2,4,6,"China","rapa"
"42",2,3,4,5,"China","rapa"
"42",2,1,5,6,"China","rapa"
"42",2,2,5,9,"China","rapa"
"42",2,3,5,8,"China","rapa"
"43",1,1,1,5,"China","rapa"
"43",1,2,1,7,"China","rapa"
"43",1,3,1,5,"China","rapa"
"43",1,1,2,10,"China","rapa"
"43",1,2,2,10,"China","rapa"
"43",1,3,2,6,"China","rapa"
"43",2,1,3,2,"China","rapa"
"43",2,2,3,3,"China","rapa"
"43",2,3,3,4,"China","rapa"
"43",2,1,4,3,"China","rapa"
"43",2,2,4,5,"China","rapa"
"43",2,3,4,5,"China","rapa"
"43",2,1,5,9,"China","rapa"
"43",2,2,5,8,"China","rapa"
"43",2,3,5,10,"China","rapa"
"44",1,1,1,7,"China","rapa"
"44",1,2,1,10,"China","rapa"
"44",1,3,1,5,"China","rapa"
"44",1,1,2,10,"China","rapa"
"44",1,2,2,10,"China","rapa"
"44",1,3,2,6,"China","rapa"
"44",2,1,3,3,"China","rapa"
"44",2,2,3,3,"China","rapa"
"44",2,3,3,3,"China","rapa"
